state_and_capital,geo_zone,date,average_price
Adamawa,North East,2021-07-01,173.666666666667
Adamawa,North East,2021-08-01,162.66666666666666
Adamawa,North East,2021-09-01,166.4
Adamawa,North East,2021-10-01,167.08
Adamawa,North East,2021-11-01,160.85714285714286
Adamawa,North East,2021-12-01,164.44444444444446
Adamawa,North East,2022-01-01,159.88888888888889
Adamawa,North East,2022-02-01,169
Adamawa,North East,2022-03-01,176.625
Adamawa,North East,2022-04-01,165.29
Adamawa,North East,2022-05-01,166.4
Adamawa,North East,2022-06-01,190.666666666667
Adamawa,North East,2022-07-01,207.57142857142858
Adamawa,North East,2022-08-01,179
Adamawa,North East,2022-09-01,189.17
Adamawa,North East,2022-10-01,200.333333333333
Adamawa,North East,2022-11-01,205.4
Adamawa,North East,2022-12-01,210.5
Adamawa,North East,2023-01-01,260.5
Adamawa,North East,2023-02-01,300.666666666667
Adamawa,North East,2023-03-01,305.333333333333
Adamawa,North East,2023-04-01,291.25
Adamawa,North East,2023-05-01,238.888888888889
Adamawa,North East,2023-06-01,551.25
Akwa Ibom,South South,2019-01-01,145
Akwa Ibom,South South,2019-02-01,144.77777777777777
Akwa Ibom,South South,2019-03-01,145
Akwa Ibom,South South,2019-04-01,145.9090909090909
Akwa Ibom,South South,2019-05-01,145.5
Akwa Ibom,South South,2019-06-01,145
Akwa Ibom,South South,2019-07-01,145.41666666666666
Akwa Ibom,South South,2019-08-01,145
Akwa Ibom,South South,2019-09-01,145
Akwa Ibom,South South,2019-10-01,144.8181818181818
Akwa Ibom,South South,2019-11-01,143.833333333333
Akwa Ibom,South South,2019-12-01,144.8181818181818
Akwa Ibom,South South,2020-01-01,145
Akwa Ibom,South South,2020-02-01,145.76923076923077
Akwa Ibom,South South,2020-03-01,145
Akwa Ibom,South South,2020-04-01,127
Akwa Ibom,South South,2020-05-01,125.666666666667
Akwa Ibom,South South,2020-06-01,125.6
Akwa Ibom,South South,2020-07-01,144
Akwa Ibom,South South,2020-08-01,149.0909090909091
Akwa Ibom,South South,2020-09-01,162.66666666666666
Akwa Ibom,South South,2020-10-01,162.0909090909
Akwa Ibom,South South,2020-11-01,166.5
Akwa Ibom,South South,2020-12-01,166.62
Akwa Ibom,South South,2021-01-01,162.9090909090909
Akwa Ibom,South South,2021-02-01,167.11111111111111
Akwa Ibom,South South,2021-03-01,172.5
Akwa Ibom,South South,2021-04-01,169.3
Akwa Ibom,South South,2021-05-01,165
Akwa Ibom,South South,2021-06-01,165.54545454545453
Akwa Ibom,South South,2021-07-01,164.72727272727272
Akwa Ibom,South South,2021-08-01,165.83333333333334
Akwa Ibom,South South,2021-09-01,165.083333333333
Akwa Ibom,South South,2021-10-01,164.75
Akwa Ibom,South South,2021-11-01,167.5
